"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"9448",35,1,0,2,1,11,4680249,0,2,0,0,6e+05,70,5,57,2,2,1,0,0,4,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9449",22,1,1,2,0,11,4680249,0,2,0,0,840000,72,6,53,3,2,1,0,1,2,840000,2722.22216796875,2,2,2,2,7.90920379926675,13.6411571708195
"9450",39,1,1,2,1,11,4680250,0,2,0,0,1400000,72,6,41,1,1,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9451",24,1,0,2,1,11,4680251,0,2,0,0,2e+06,40,7,41,1,1,3,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9452",78,1,0,3,0,11,4680252,0,6,1,0,29833333.3333333,40,7,21,1,1,1,1,0,5,2e+07,116666.6640625,2,2,2,2,11.6670761224761,16.8112428315183
"9453",70,1,0,3,0,11,4680252,0,6,1,0,25166666.6666667,35,7,30,2,1,1,0,0,5,1.6e+07,106666.6640625,2,2,2,2,11.5774639616937,16.5880992802041
"9454",49,1,1,2,1,11,4680253,0,1,0,0,2e+05,18,6,85,1,1,3,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9455",33,1,0,1,1,11,4680254,0,2,1,0,9e+05,70,5,98,1,1,1,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9456",21,1,1,2,1,11,4680254,0,2,0,0,20000,7,6,94,2,2,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9457",33,1,1,1,0,11,4680255,0,2,1,0,1200000,48,6,95,1,1,1,1,0,5,1200000,5833.33349609375,2,2,2,2,8.67134389914528,13.9978321147582
"9458",62,1,1,3,1,11,4680256,0,3,1,0,2150000,48,6,41,1,1,1,1,0,3,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9459",29,1,0,1,0,11,4680256,0,3,1,0,1825000,48,7,11,3,1,1,1,0,5,1800000,8750,2,2,2,2,9.07680897935166,14.4032972228664
"9460",62,1,0,2,1,11,4680257,0,3,0,0,850000,21,5,45,1,1,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9461",34,1,0,1,0,11,4680258,0,3,1,0,3350000,40,7,8,1,1,1,1,0,5,3100000,18083.333984375,2,2,2,2,9.8027460187369,14.9469126694554
"9462",29,1,1,1,0,11,4680259,0,2,1,0,1273361,60,6,58,1,1,1,1,0,3,1065000,4141.66650390625,2,1,1,2,8.32885352299843,13.8784853571257
"9463",31,1,1,1,0,11,4680259,0,2,1,0,1241961,65,6,58,4,1,1,1,0,4,1065000,3823.07690429688,2,1,2,2,8.2488108497109,13.8784853571257
"9464",67,1,0,3,0,11,4680260,0,3,1,0,2260000,25,5,95,1,1,1,1,0,3,7e+05,6533.33349609375,2,2,2,2,8.78467258146281,13.4588356140255
"9465",50,1,0,2,1,11,4680261,0,2,0,0,760000,60,4,54,1,1,3,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9466",51,1,1,1,0,11,4680262,0,3,1,0,2791666.33333333,48,6,98,1,1,1,1,0,5,2500000,12152.77734375,2,2,2,2,9.40531301060941,14.7318012898384
"9467",51,1,0,1,0,11,4680262,0,3,1,0,5241667,48,7,13,2,1,1,0,0,5,4800000,23333.333984375,2,2,2,2,10.0576382602652,15.3841264758781
"9468",25,1,0,1,0,11,4680262,0,3,1,0,2550000,40,7,13,3,1,1,0,0,5,2100000,12250,2,2,2,2,9.41328121597287,14.5574479026937
"9469",32,1,0,1,0,11,4680263,0,3,1,0,1531000,36,7,38,1,1,1,0,0,5,1400000,9074.07421875,2,1,1,2,9.11317663946641,14.1519827945855
"9470",42,1,0,1,0,11,4680264,0,3,1,0,1562500,48,7,8,2,1,1,1,0,4,1500000,7291.66650390625,2,2,2,2,8.89448740023628,14.2209756660724
"9471",38,1,0,2,0,11,4680265,0,3,0,0,6e+05,48,7,45,2,1,1,1,1,2,6e+05,2916.66674804688,2,2,2,2,7.97819671858534,13.3046849341983
"9472",34,1,0,1,0,11,4680265,0,3,1,0,1484044.33333333,48,7,39,3,1,1,1,0,5,1300000,6319.4443359375,2,1,2,2,8.7513865617467,14.0778748224318
"9473",39,1,0,1,0,11,4680267,0,3,1,0,2485833.33333333,48,7,19,1,1,1,1,0,4,2300000,11180.5556640625,2,1,1,2,9.32193144708961,14.6484196808994
"9474",35,1,1,1,0,11,4680267,0,3,1,0,906666.666666667,48,6,39,2,1,1,0,0,4,8e+05,3888.88891601562,2,1,1,2,8.26587877011078,13.5923670066501
"9475",39,1,1,2,1,11,4680268,0,3,0,0,8e+05,49,6,79,1,2,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9476",45,1,0,2,1,11,4680268,0,3,0,0,1200000,48,5,95,2,1,3,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9477",40,1,0,2,0,11,4680269,0,3,0,0,1981000,48,7,30,1,1,1,0,0,5,1800000,8750,2,2,1,2,9.07680897935166,14.4032972228664
