"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"1362",21,1,1,2,0,11,4559818,0,2,0,0,7e+05,84,6,33,4,2,NA,1,1,2,7e+05,1944.44445800781,2,2,2,2,7.57273158955083,13.4588356140255
"1363",23,1,1,1,0,11,4559818,0,2,1,0,1100000,70,6,58,2,1,1,1,0,5,1100000,3666.66674804688,2,1,2,2,8.207038285307,13.9108207377686
"1364",41,1,0,1,0,11,4559819,0,3,1,0,4109600,70,7,58,1,1,2,1,0,5,3200000,10666.6669921875,1,2,1,2,9.27487892363133,14.97866136777
"1365",23,1,0,1,0,11,4559821,0,3,1,0,2050000,40,7,9,2,1,1,1,0,5,2e+06,11666.6669921875,2,1,2,2,9.36449107970523,14.5086577385242
"1366",30,1,1,1,0,11,4559822,0,2,1,0,1092211,48,6,58,1,1,1,1,0,5,9e+05,4375,2,1,1,2,8.38366179879172,13.7101500423064
"1367",41,1,1,1,0,11,4559823,0,3,1,0,930929.416666667,48,6,55,2,1,1,0,0,3,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1368",25,1,1,1,0,11,4559824,0,3,1,0,1349687.41666667,48,6,53,1,1,1,0,0,4,1200000,5833.33349609375,1,1,2,2,8.67134389914528,13.9978321147582
"1369",21,1,1,1,0,11,4559824,0,3,1,0,1100000,48,6,53,3,1,1,0,0,5,1100000,5347.22216796875,2,1,2,2,8.58433248410776,13.9108207377686
"1370",34,1,0,1,0,11,4559825,0,2,1,0,1479877.66666667,40,7,59,1,1,1,1,0,5,1100000,6416.66650390625,2,1,1,2,8.76665402568256,13.9108207377686
"1371",25,1,1,2,0,11,4559827,0,3,0,0,8e+05,48,6,98,1,1,1,1,0,3,8e+05,3888.88891601562,2,2,2,2,8.26587877011078,13.5923670066501
"1372",53,1,0,2,0,11,4559827,0,3,0,0,1078000,78,4,77,7,1,3,1,0,3,1e+06,2991.45288085938,2,2,2,2,8.00351446169797,13.8155105579643
"1373",28,1,1,1,0,11,4559829,0,2,1,0,858000,48,6,39,3,1,1,1,1,2,8e+05,3888.88891601562,2,1,1,2,8.26587877011078,13.5923670066501
"1374",24,1,0,1,0,11,4559830,0,2,1,0,988211,48,5,95,4,1,1,1,0,4,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"1375",49,1,0,1,0,11,4559830,0,2,1,0,1217811,48,3,93,1,1,1,1,0,4,1100000,5347.22216796875,2,1,1,2,8.58433248410776,13.9108207377686
"1376",26,1,1,1,0,11,4559833,0,2,1,0,898619.666666667,48,6,33,3,1,1,0,0,5,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1377",61,1,0,1,0,11,4559833,0,2,1,0,1862500,48,7,8,1,1,1,1,0,4,1800000,8750,2,2,2,2,9.07680897935166,14.4032972228664
"1378",25,1,1,1,0,11,4559834,0,2,1,0,958000,48,6,84,1,1,1,1,0,5,9e+05,4375,2,1,1,2,8.38366179879172,13.7101500423064
"1379",31,1,1,2,0,11,4559835,0,2,0,0,930929.416666667,48,6,55,1,1,1,1,0,5,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1380",37,1,1,2,0,11,4559835,0,2,0,0,150000,60,6,54,2,1,1,0,1,1,150000,583.333312988281,2,2,2,2,6.36875874337222,11.9183905730784
"1381",32,1,1,1,0,11,4559836,0,2,1,0,930929.416666667,48,6,39,2,1,1,1,1,2,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1382",26,1,1,1,0,11,4559836,0,2,1,0,930929.416666667,48,6,45,1,1,1,0,0,3,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1383",31,1,1,1,0,11,4559837,0,2,1,0,927619.666666667,48,6,45,1,1,1,0,1,2,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"1384",41,1,0,1,0,11,4559838,0,2,1,0,1062386.33333333,40,5,55,1,1,1,0,0,5,781242,4557.2451171875,2,1,1,2,8.42447357897409,13.5686402399803
"1385",24,1,0,2,0,11,4559838,0,2,0,0,4e+05,24,5,53,4,1,3,0,0,4,4e+05,3888.88891601562,2,2,2,2,8.26587877011078,12.8992198260901
"1386",26,1,1,1,0,11,4559839,0,2,1,0,781242,48,6,33,2,1,1,0,0,5,781242,3797.7041015625,2,2,2,2,8.24215197932255,13.5686402399803
